Question	Answer
What is the difference between upsampling and downsampling?	In the upsampling method, we increase the number of samples in the minority class by randomly selecting some points from the minority class and adding them to the dataset repeat this process till the dataset gets balanced for each class. But here is a disadvantage the training accuracy becomes high as in each epoch model trained more than once in each epoch but the same high accuracy is not observed in the validation accuracy. In the case of downsampling, we decrease the number of samples in the majority class by selecting some random number of points that are equal to the number of data points in the minority class so that the distribution becomes balanced. In this case, we have to suffer from data loss which may lead to the loss of some critical information as well. 
What is data leakage and how can we identify it?	If there is a high correlation between the target variable and the input features then this situation is referred to as data leakage. This is because when we train our model with that highly correlated feature then the model gets most of the target variable’s information in the training process only and it has to do very little to achieve high accuracy. In this situation, the model gives pretty decent performance both on the training as well as the validation data but as we use that model to make actual predictions then the model’s performance is not up to the mark. This is how we can identify data leakage.
Explain the classification report and the metrics it includes.	Classification reports are evaluated using classification metrics that have precision, recall, and f1-score on a per-class basis.Precision can be defined as the ability of a classifier not to label an instance positive that is actually negative. Recall is the ability of a classifier to find all positive values. For each class, it is defined as the ratio of true positives to the sum of true positives and false negatives. F1-score is a harmonic mean of precision and recall. Support is the number of samples used for each class.The overall accuracy score of the model is also there to get a high-level review of the performance. It is the ratio between the total number of correct predictions and the total number of datasets.Macro avg is nothing but the average of the metric(precision, recall, f1-score) values for each class. The weighted average is calculated by providing a higher preference to that class that was present in the higher number in the datasets.
What are some of the hyperparameters of the random forest regressor which help to avoid overfitting?	The most important hyper-parameters of a Random Forest are: max_depth - Sometimes the larger depth of the tree can create overfitting. To overcome it, the depth should be limited.n-estimator - It is the number of decision trees we want in our forest.min_sample_split - It is the minimum number of samples an internal node must hold in order to split into further nodes.max_leaf_nodes - It helps the model to control the splitting of the nodes and in turn, the depth of the model is also restricted.
What is the bias-variance tradeoff?	First, let’s understand what is bias and variance:Bias refers to the difference between the actual values and the predicted values by the model. Low bias means the model has learned the pattern in the data and high bias means the model is unable to learn the patterns present in the data i.e the underfitting.Variance refers to the change in accuracy of the model’s prediction on which the model has not been trained. Low variance is a good case but high variance means that the performance of the training data and the validation data vary a lot.If the bias is too low but the variance is too high then that case is known as overfitting. So, finding a balance between these two situations is known as the bias-variance trade-off.
Is it always necessary to use an 80:20 ratio for the train test split?	No there is no such necessary condition that the data must be split into 80:20 ratio. The main purpose of the splitting is to have some data which the model has not seen previously so, that we can evaluate the performance of the model. If the dataset contains let’s say 50,000 rows of data then only 1000 or maybe 2000 rows of data is enough to evaluate the model’s performance.
What is Principal Component Analysis?	PCA(Principal Component Analysis) is an unsupervised machine learning dimensionality reduction technique in which we trade off some information or patterns of the data at the cost of reducing its size significantly. In this algorithm, we try to preserve the variance of the original dataset up to a great extent let’s say 95%. For very high dimensional data sometimes even at the loss of 1% of the variance, we can reduce the data size significantly. By using this algorithm we can perform image compression, visualize high-dimensional data as well as make data visualization easy.
What is one-shot learning?	One-shot learning is a concept in machine learning where the model is trained to recognize the patterns in datasets from a single example instead of training on large datasets. This is useful when we haven’t large datasets. It is applied to find the similarity and dissimilarities between the two images.
What is the difference between Manhattan Distance and Euclidean distance?	Both Manhattan Distance and Euclidean distance are two distance measurement techniques. Manhattan Distance (MD) is calculated as the sum of absolute differences between the coordinates of two points along each dimension. Euclidean Distance (ED) is calculated as the square root of the sum of squared differences between the coordinates of two points along each dimension.Generally, these two metrics are used to evaluate the effectiveness of the clusters formed by a clustering algorithm.
What is the difference between covariance and correlation?	As the name suggests, Covariance provides us with a measure of the extent to which two variables differ from each other. But on the other hand, correlation gives us the measure of the extent to which the two variables are related to each other. Covariance can take on any value while correlation is always between -1 and 1. These measures are used during the exploratory data analysis to gain insights from the data.
What is the difference between one hot encoding and ordinal encoding?	One Hot encoding and ordinal encoding both are different methods to convert categorical features to numeric ones the difference is in the way they are implemented. In one hot encoding, we create a separate column for each category and add 0 or 1 as per the value corresponding to that row. Contrary to one hot encoding, In ordinal encoding, we replace the categories with numbers from 0 to n-1 based on the order or rank where n is the number of unique categories present in the dataset. The main difference between one-hot encoding and ordinal encoding is that one-hot encoding results in a binary matrix representation of the data in the form of 0 and 1, it is used when there is no order or ranking between the dataset whereas ordinal encoding represents categories as ordinal values.
How to identify whether the model has overfitted the training data or not?	This is the step where the splitting of the data into training and validation data proves to be a boon. If the model’s performance on the training data is very high as compared to the performance on the validation data then we can say that the model has overfitted the training data by learning the patterns as well as the noise present in the dataset.
How can you conclude about the model’s performance using the confusion matrix?	confusion matrix summarizes the performance of a classification model. In a confusion matrix, we get four types of output (in case of a binary classification problem) which are TP, TN, FP, and FN. As we know that there are two diagonals possible in a square, and one of these two diagonals represents the numbers for which our model’s prediction and the true labels are the same. Our target is also to maximize the values along these diagonals. From the confusion matrix, we can calculate various evaluation metrics like accuracy, precision, recall, F1 score, etc.
What is the use of the violin plot?	The name violin plot has been derived from the shape of the graph which matches the violin. This graph is an extension of the Kernel Density Plot along with the properties of the boxplot. All the statistical measures shown by a boxplot are also shown by the violin plot but along with this, The width of the violin represents the density of the variable in the different regions of values. This visualization tool is generally used in the exploratory data analysis step to check the distribution of the continuous data variables. With this, we have covered some of the most important Machine Learning concepts which are generally asked by the interviewers to test the technical understanding of a candidate also, we would like to wish you all the best for your next interview. 
What is the difference between stochastic gradient descent (SGD) and gradient descent (GD)?	In the gradient descent algorithm train our model on the whole dataset at once. But in Stochastic Gradient Descent, the model is trained by using a mini-batch of training data at once. If we are using SGD then one cannot expect the training error to go down smoothly. The training error oscillates but after some training steps, we can say that the training error has gone down. Also, the minima achieved by using GD may vary from that achieved using the SGD. It is observed that the minima achieved by using SGD are close to GD but not the same. 
What is the Central Limit theorem?	This theorem is related to sampling statistics and its distribution. As per this theorem the sampling distribution of the sample means tends to towards a normal distribution as the sample size increases. No matter how the population distribution is shaped. i.e if we take some sample points from the distribution and calculate its mean then the distribution of those mean points will follow a normal/gaussian distribution no matter from which distribution we have taken the sample points. There is one condition that the size of the sample must be greater than or equal to 30 for the CLT to hold. and the mean of the sample means approaches the population mean.
What is the difference between the k-means and k-means++ algorithms?	The only difference between the two is in the way centroids are initialized. In the k-means algorithm, the centroids are initialized randomly from the given points. There is a drawback in this method that sometimes this random initialization leads to non-optimized clusters due to maybe initialization of two clusters close to each other. To overcome this problem k-means++ algorithm was formed. In k-means++, The first centroid is selected randomly from the data points. The selection of subsequent centroids is based on their separation from the initial centroids. The probability of a point being selected as the next centroid is proportional to the squared distance between the point and the closest centroid that has already been selected. This guarantees that the centroids are evenly spread apart and lowers the possibility of convergence to less-than-ideal clusters. This helps the algorithm reach the global minima instead of getting stuck at some local minima. 
What happens to the mean, median, and mode when your data distribution is right skewed and left skewed?	In the case of a left-skewed distribution also known as a positively skewed distribution mean is greater than the median which is greater than the mode. But in the case of left-skewed distribution, the scenario is completely reversed.
What is the difference between L1 and L2 regularization? What is their significance?	L1 regularization: In L1 regularization also known as Lasso regularization in which we add the sum of absolute values of the weights of the model in the loss function.In L1 regularization weights for those features which are not at all important are penalized to zero so, in turn, we obtain feature selection by using the L1 regularization technique.L2 regularization: In L2 regularization also known as Ridge regularization in which we add the square of the weights to the loss function. In both of these regularization methods, weights are penalized but there is a subtle difference between the objective they help to achieve. In L2 regularization the weights are not penalized to 0 but they are near zero for irrelevant features. It is often used to prevent overfitting by shrinking the weights towards zero, especially when there are many features and the data is noisy.
What is a radial basis function?	RBF (radial basis function) is a real-valued function used in machine learning whose value only depends upon the input and fixed point called the center. 
Does the accuracy score always a good metric to measure the performance of a classification model?	No, there are times when we train our model on an imbalanced dataset the accuracy score is not a good metric to measure the performance of the model. In such cases, we use precision and recall to measure the performance of a classification model. Also, f1-score is another metric that can be used to measure performance but in the end, f1-score is also calculated using precision and recall as the f1-score is nothing but the harmonic mean of the precision and recall. 
What is KNN Imputer?	We generally impute null values by the descriptive statistical measures of the data like mean, mode, or median but KNN Imputer is a more sophisticated method to fill the null values. A distance parameter is also used in this method which is also known as the k parameter. The work is somehow similar to the clustering algorithm. The missing value is imputed in reference to the neighborhood points of the missing values.
What is the purpose of splitting a given dataset into training and validation data?	The main purpose is to keep some data left over on which the model has not been trained so, that we can evaluate the performance of our machine learning model after training. Also, sometimes we use the validation dataset to choose among the multiple state-of-the-art machine learning models. Like we first train some models let’s say LogisticRegression, XGBoost, or any other than test their performance using validation data and choose the model which has less difference between the validation and the training accuracy.
What is the difference between k-means and the KNN algorithm?	k-means algorithm is one of the popular unsupervised machine learning algorithms which is used for clustering purposes. But the KNN is a model which is generally used for the classification task and is a supervised machine learning algorithm. The k-means algorithm helps us to label the data by forming clusters within the dataset.
What is Linear Discriminant Analysis?	LDA is a supervised machine learning dimensionality reduction technique because it uses target variables also for dimensionality reduction. It is commonly used for classification problems. The LDA mainly works on two objectives:Maximize the distance between the means of the two classes.Minimize the variation within each class.
How can we visualize high-dimensional data in 2-d?	One of the most common and effective methods is by using the t-SNE algorithm which is a short form for t-Distributed Stochastic Neighbor Embedding. This algorithm uses some non-linear complex methods to reduce the dimensionality of the given data. We can also use PCA or LDA to convert n-dimensional data to 2 – dimensional so, that we can plot it to get visuals for better analysis. But the difference between the PCA and t-SNE is that the former tries to preserve the variance of the dataset but the t-SNE tries to preserve the local similarities in the dataset.
What is the reason behind the curse of dimensionality?	As the dimensionality of the input data increases the amount of data required to generalize or learn the patterns present in the data increases. For the model, it becomes difficult to identify the pattern for every feature from the limited number of datasets or we can say that the weights are not optimized properly due to the high dimensionality of the data and the limited number of examples used to train the model. Due to this after a certain threshold for the dimensionality of the input data, we have to face the curse of dimensionality.
Why removing highly correlated features are considered a good practice?	When two features are highly correlated, they may provide similar information to the model, which may cause overfitting. If there are highly correlated features in the dataset then they unnecessarily increase the dimensionality of the feature space and sometimes create the problem of the curse of dimensionality. If the dimensionality of the feature space is high then the model training may take more time than expected, it will increase the complexity of the model and chances of error. This somehow also helps us to achieve data compression as the features have been removed without much loss of data.
What is the difference between the content-based and collaborative filtering algorithms of recommendation systems?	n a content-based recommendation system, similarities in the content and services are evaluated, and then by using these similarity measures from past data we recommend products to the user. But on the other hand in collaborative filtering, we recommend content and services based on the preferences of similar users. For example, if one user has taken A and B services in past and a new user has taken service A then service A will be recommended to him based on the other user’s preferences.
How do you select important variables while working on a data set? 	There are various means to select important variables from a data set that include the following:Identify and discard correlated variables before finalizing on important variables. The variables could be selected based on ‘p’ values from Linear Regression, Forward, Backward, and Stepwise selection. Lasso Regression. Random Forest and plot variable chart. Top features can be selected based on information gain for the available set of features.
State the differences between causality and correlation?	Causality applies to situations where one action, say X, causes an outcome, say Y, whereas Correlation is just relating one action (X) to another action(Y) but X does not necessarily cause Y.
How do we apply Machine Learning to Hardware?	We have to build ML algorithms in System Verilog which is a Hardware development Language and then program it onto an FPGA to apply Machine Learning to hardware.
How can we relate standard deviation and variance?	Standard deviation refers to the spread of your data from the mean. Variance is the average degree to which each point differs from the mean i.e. the average of all data points. We can relate Standard deviation and Variance because it is the square root of Variance.
Is a high variance in data good or bad?	Higher variance directly means that the data spread is big and the feature has a variety of data. Usually, high variance in a feature is seen as not so good quality.
If your dataset is suffering from high variance, how would you handle it?	For datasets with high variance, we could use the bagging algorithm to handle it. Bagging algorithm splits the data into subgroups with sampling replicated from random data. After the data is split, random data is used to create rules using a training algorithm. Then we use polling technique to combine all the predicted outcomes of the model.
What is Time series?	A Time series is a sequence of numerical data points in successive order. It tracks the movement of the chosen data points, over a specified period of time and records the data points at regular intervals. Time series doesn’t require any minimum or maximum time input. Analysts often use Time series to examine data according to their specific requirement.
What is a Box-Cox transformation?	Box-Cox transformation is a power transform which transforms non-normal dependent variables into normal variables as normality is the most common assumption made while using many statistical techniques. It has a lambda parameter which when set to 0 implies that this transform is equivalent to log-transform. It is used for variance stabilization and also to normalize the distribution.
What is the exploding gradient problem while using the back propagation technique?	When large error gradients accumulate and result in large changes in the neural network weights during training, it is called the exploding gradient problem. The values of weights can become so large as to overflow and result in NaN values. This makes the model unstable and the learning of the model to stall just like the vanishing gradient problem. This is one of the most commonly asked interview questions on machine learning.
Can you mention some advantages and disadvantages of decision trees?	The advantages of decision trees are that they are easier to interpret, are nonparametric and hence robust to outliers, and have relatively few parameters to tune.On the other hand, the disadvantage is that they are prone to overfitting.
What’s a Fourier transform?	Fourier Transform is a mathematical technique that transforms any function of time to a function of frequency. Fourier transform is closely related to Fourier series. It takes any time-based pattern for input and calculates the overall cycle offset, rotation speed and strength for all possible cycles. Fourier transform is best applied to waveforms since it has functions of time and space. Once a Fourier transform applied on a waveform, it gets decomposed into a sinusoid.
What do you mean by Associative Rule Mining (ARM)?	Associative Rule Mining is one of the techniques to discover patterns in data like features (dimensions) which occur together and features (dimensions) which are correlated. It is mostly used in Market-based Analysis to find how frequently an itemset occurs in a transaction. Association rules have to satisfy minimum support and minimum confidence at the very same time. Association rule generation generally comprised of two different steps:“A min support threshold is given to obtain all frequent item-sets in a database.”“A min confidence constraint is given to these frequent item-sets in order to form the association rules.”Support is a measure of how often the “item set” appears in the data set and Confidence is a measure of how often a particular rule has been found to be true.
What is Marginalisation?	Marginalisation is summing the probability of a random variable X given joint probability distribution of X with other variables. It is an application of the law of total probability.
When does the linear regression line stop rotating or finds an optimal spot where it is fitted on data? 	A place where the highest RSquared value is found, is the place where the line comes to rest. RSquared represents the amount of variance captured by the virtual linear regression line with respect to the total variance captured by the dataset. 
Why is logistic regression a type of classification technique and not a regression? Name the function it is derived from? 	Since the target column is categorical, it uses linear regression to create an odd function that is wrapped with a log function to use regression as a classifier. Hence, it is a type of classification technique and not a regression. It is derived from cost function. 
What could be the issue when the beta value for a certain variable varies way too much in each subset when regression is run on different subsets of the given dataset?	Variations in the beta values in every subset implies that the dataset is heterogeneous. To overcome this problem, we can use a different model for each of the dataset’s clustered subsets or a non-parametric model such as decision trees.
What does the term Variance Inflation Factor mean?	Variation Inflation Factor (VIF) is the ratio of the model’s variance to the model’s variance with only one independent variable. VIF gives the estimate of the volume of multicollinearity in a set of many regression variables.VIF = Variance of the model with one independent variable
Which machine learning algorithm is known as the lazy learner, and why is it called so?	KNN is a Machine Learning algorithm known as a lazy learner. K-NN is a lazy learner because it doesn’t learn any machine-learned values or variables from the training data but dynamically calculates distance every time it wants to classify, hence memorizing the training dataset instead. 
Is it possible to use KNN for image processing? 	Yes, it is possible to use KNN for image processing. It can be done by converting the 3-dimensional image into a single-dimensional vector and using the same as input to KNN. 
How does the SVM algorithm deal with self-learning? 	SVM has a learning rate and expansion rate which takes care of this. The learning rate compensates or penalises the hyperplanes for making all the wrong moves and expansion rate deals with finding the maximum separation area between classes.
What are Kernels in SVM?	The function of the kernel is to take data as input and transform it into the required form. A few popular Kernels used in SVM are as follows: RBF, Linear, Sigmoid, Polynomial, Hyperbolic, Laplace, etc. 
What are ensemble models?	An ensemble is a group of models that are used together for prediction both in classification and regression classes. Ensemble learning helps improve ML results because it combines several models. By doing so, it allows for a better predictive performance compared to a single model. 
What is OOB error and how does it occur? 	For each bootstrap sample, there is one-third of the data that was not used in the creation of the tree, i.e., it was out of the sample. This data is referred to as out of bag data. In order to get an unbiased measure of the accuracy of the model over test data, out of bag error is used. The out of bag data is passed for each tree is passed through that tree and the outputs are aggregated to give out of bag error. This percentage error is quite effective in estimating the error in the testing set and does not require further cross-validation. 
Why boosting is a more stable algorithm as compared to other ensemble algorithms? 	Boosting focuses on errors found in previous iterations until they become obsolete. Whereas in bagging there is no corrective loop. This is why boosting is a more stable algorithm compared to other ensemble algorithms. 
What is Naive Bayes?	Naive Bayes classifiers are a series of classification algorithms that are based on the Bayes theorem. This family of algorithm shares a common principle which treats every pair of features independently while being classified. 
Why Naive Bayes is called Naive?	Naive Bayes is considered Naive because the attributes in it (for the class) is independent of others in the same class.  This lack of dependence between two attributes of the same class creates the quality of naiveness.
What’s the difference between probability and likelihood?	Probability is the measure of the likelihood that an event will occur that is, what is the certainty that a specific event will occur? Where-as a likelihood function is a function of parameters within the parameter space that describes the probability of obtaining the observed data. So the fundamental difference is, Probability attaches to possible results; likelihood attaches to hypotheses. 
What is the difference between a generative and discriminative model?	A generative model learns the different categories of data. On the other hand, a discriminative model will only learn the distinctions between different categories of data. Discriminative models perform much better than the generative models when it comes to classification tasks.
What are hyperparameters and how are they different from parameters?	A parameter is a variable that is internal to the model and whose value is estimated from the training data. They are often saved as part of the learned model. Examples include weights, biases etc.A hyperparameter is a variable that is external to the model whose value cannot be estimated from the data. They are often used to estimate model parameters. The choice of parameters is sensitive to implementation. Examples include learning rate, hidden layers etc.
What is the default method of splitting in decision trees?	The default method of splitting in decision trees is the Gini Index. Gini Index is the measure of impurity of a particular node.This can be changed by making changes to classifier parameters. 
How is p-value useful?	The p-value gives the probability of the null hypothesis is true. It gives us the statistical significance of our results. In other words, p-value determines the confidence of a model in a particular output.
What are the hyperparameters of a logistic regression model?	Classifier penalty, classifier solver and classifier C are the trainable hyperparameters of a Logistic Regression Classifier. These can be specified exclusively with values in Grid Search to hyper tune a Logistic Classifier.
How to deal with multicollinearity?	Multi collinearity can be dealt with by the following steps:Remove highly correlated predictors from the model.Use Partial Least Squares Regression (PLS) or Principal Components Analysis
What is Heteroscedasticity?	t is a situation in which the variance of a variable is unequal across the range of values of the predictor variable.It should be avoided in regression as it introduces unnecessary variance.  
What is the role of cross-validation?	Cross-validation is a technique which is used to increase the performance of a machine learning algorithm, where the machine is fed sampled data out of the same data for a few times. The sampling is done so that the dataset is broken into small parts of the equal number of rows, and a random part is chosen as the test set, while all other parts are chosen as train sets.
What is a voting model?	A voting model is an ensemble model which combines several classifiers but to produce the final result, in case of a classification-based model, takes into account, the classification of a certain data point of all the models and picks the most vouched/voted/generated option from all the given classes in the target column.
How to deal with very few data samples? Is it possible to make a model out of it?	If very few data samples are there, we can make use of oversampling to produce new data points. In this way, we can have new data points.
What impact does correlation have on PCA?	If data is correlated PCA does not work well. Because of the correlation of variables the effective variance of variables decreases. Hence correlated data when used for PCA does not work well.
Which metrics can be used to measure correlation of categorical data?	Chi square test can be used for doing so. It gives the measure of correlation between categorical predictors.
Which algorithm can be used in value imputation in both categorical and continuous categories of data?	KNN is the only algorithm that can be used for imputation of both categorical and continuous variables.
When should ridge regression be preferred over lasso?	We should use ridge regression when we want to use all predictors and not remove any as it reduces the coefficient values but does not nullify them.
Which algorithms can be used for important variable selection?	Random Forest, Xgboost and plot variable importance charts can be used for variable selection.
What ensemble technique is used by Random forests?	Bagging is the technique used by Random Forests. Random forests are a collection of trees which work on sampled data from the original dataset with the final prediction being a voted average of all trees.
If we have a high bias error what does it mean? 	High bias error means that that model we are using is ignoring all the important trends in the model and the model is underfitting.
Which type of sampling is better for a classification model and why?	Stratified sampling is better in case of classification problems because it takes into account the balance of classes in train and test sets. The proportion of classes is maintained and hence the model performs better. In case of random sampling of data, the data is divided into two parts without taking into consideration the balance classes in the train and test sets. Hence some classes might be present only in tarin sets or validation sets. Hence the results of the resulting model are poor in this case.
When can be a categorical value treated as a continuous variable and what effect does it have when done so?	A categorical predictor can be treated as a continuous one when the nature of data points it represents is ordinal. If the predictor variable is having ordinal data then it can be treated as continuous and its inclusion in the model increases the performance of the model.
What is a pipeline?	A pipeline is a sophisticated way of writing software such that each intended action while building a model can be serialized and the process calls the individual functions for the individual tasks. The tasks are carried out in sequence for a given sequence of data points and the entire process can be run onto n threads by use of composite estimators in scikit learn.
Which sampling technique is most suitable when working with time-series data?	We can use a custom iterative sampling such that we continuously add samples to the train set. We only should keep in mind that the sample used for validation should be added to the next train sets and a new sample is used for validation.
What is normal distribution?	The distribution having the below properties is called normal distribution. The mean, mode and median are all equal.The curve is symmetric at the center (i.e. around the mean, μ).Exactly half of the values are to the left of center and exactly half the values are to the right.The total area under the curve is 1.
What is the 68 per cent rule in normal distribution?	The normal distribution is a bell-shaped curve. Most of the data points are around the median. Hence approximately 68 per cent of the data is around the median. Since there is no skewness and its bell-shaped. 
What is a random variable?	A Random Variable is a set of possible values from a random experiment.
What is the degree of freedom?	It is the number of independent values or quantities which can be assigned to a statistical distribution. It is used in Hypothesis testing and chi-square test.
What is a false positive?	It is a test result which wrongly indicates that a particular condition or attribute is present.
What is a false negative?	A test result which wrongly indicates that a particular condition or attribute is absent.
What is the error term composed of in regression?	Error is a sum of bias error+variance error+ irreducible error in regression. Bias and variance error can be reduced but not the irreducible error.
Which performance metric is better R2 or adjusted R2?	Type I and Type II error in machine learning refers to false values. Type I is equivalent to a False positive while Type II is equivalent to a False negative. In Type I error, a hypothesis which ought to be accepted doesn’t get accepted. Similarly, for Type II error, the hypothesis gets rejected which should have been accepted in the first place.
What do you mean by AUC curve?	AUC (area under curve). Higher the area under the curve, better the prediction power of the model.
Why does XGBoost perform better than SVM?	First reason is that XGBoos is an ensemble method that uses many trees to make a decision so it gains power by repeating itself.SVM is a linear separator, when data is not linearly separable SVM needs a Kernel to project the data into a space where it can separate it, there lies its greatest strength and weakness, by being able to project data into a high dimensional space SVM can find a linear separation for almost any data but at the same time it needs to use a Kernel and we can argue that there’s not a perfect kernel for every dataset.
How is linear classifier relevant to SVM?	An svm is a type of linear classifier. If you don’t mess with kernels, it’s arguably the most simple type of linear classifier.Linear classifiers (all?) learn linear fictions from your data that map your input to scores like so: scores = Wx + b. Where W is a matrix of learned weights, b is a learned bias vector that shifts your scores, and x is your input data. This type of function may look familiar to you if you remember y = mx + b from high school.A typical svm loss function ( the function that tells you how good your calculated scores are in relation to the correct labels ) would be hinge loss. It takes the form: Loss = sum over all scores except the correct score of max(0, scores – scores(correct class) + 1).
Are Gaussian Naive Bayes the same as binomial Naive Bayes?	Binomial Naive Bayes: It assumes that all our features are binary such that they take only two values. Means 0s can represent “word does not occur in the document” and 1s as “word occurs in the document”.Gaussian Naive Bayes: Because of the assumption of the normal distribution, Gaussian Naive Bayes is used in cases when all our features are continuous. For example in Iris dataset features are sepal width, petal width, sepal length, petal length. So its features can have different values in the data set as width and length can vary. We can’t represent features in terms of their occurrences. This means data is continuous. Hence we use Gaussian Naive Bayes here.
What do you understand by Precision and Recall?	In pattern recognition, The information retrieval and classification in machine learning are part of precision. It is also called as positive predictive value which is the fraction of relevant instances among the retrieved instances.Recall is also known as sensitivity and the fraction of the total amount of relevant instances which  were actually retrieved. Both precision and recall are therefore based on an understanding and measure of relevance.
What is the difference between Entropy and Information Gain?	The information gain is based on the decrease in entropy after a dataset is split on an attribute. Constructing a decision tree is all about finding the attribute that returns the highest information gain (i.e., the most homogeneous branches). Step 1: Calculate entropy of the target.
What’s the trade-off between bias and variance?	Bias is error due to erroneous or overly simplistic assumptions in the learning algorithm you’re using. This can lead to the model underfitting your data, making it hard for it to have high predictive accuracy and for you to generalize your knowledge from the training set to the test set.Variance is error due to too much complexity in the learning algorithm you’re using. This leads to the algorithm being highly sensitive to high degrees of variation in your training data, which can lead your model to overfit the data. You’ll be carrying too much noise from your training data for your model to be very useful for your test data.The bias-variance decomposition essentially decomposes the learning error from any algorithm by adding the bias, the variance and a bit of irreducible error due to noise in the underlying dataset. Essentially, if you make the model more complex and add more variables, you’ll lose bias but gain some variance — in order to get the optimally reduced amount of error, you’ll have to tradeoff bias and variance. You don’t want either high bias or high variance in your model.
How is KNN different from k-means clustering?	K-Nearest Neighbors is a supervised classification algorithm, while k-means clustering is an unsupervised clustering algorithm. While the mechanisms may seem similar at first, what this really means is that in order for K-Nearest Neighbors to work, you need labeled data you want to classify an unlabeled point into (thus the nearest neighbor part). K-means clustering requires only a set of unlabeled points and a threshold: the algorithm will take unlabeled points and gradually learn how to cluster them into groups by computing the mean of the distance between different points.The critical difference here is that KNN needs labeled points and is thus supervised learning, while k-means doesn’t—and is thus unsupervised learning.
Explain how a ROC curve works.	The ROC curve is a graphical representation of the contrast between true positive rates and the false positive rate at various thresholds. It’s often used as a proxy for the trade-off between the sensitivity of the model (true positives) vs the fall-out or the probability it will trigger a false alarm (false positives).
What’s the difference between Type I and Type II error?	Type I error is a false positive, while Type II error is a false negative. Briefly stated, Type I error means claiming something has happened when it hasn’t, while Type II error means that you claim nothing is happening when in fact something is.
how does deep learning contrast with other machine learning algorithms?	Deep learning is a subset of machine learning that is concerned with neural networks: how to use backpropagation and certain principles from neuroscience to more accurately model large sets of unlabelled or semi-structured data. In that sense, deep learning represents an unsupervised learning algorithm that learns representations of data through the use of neural nets.
What’s the “kernel trick” and how is it useful?	he Kernel trick involves kernel functions that can enable in higher-dimension spaces without explicitly calculating the coordinates of points within that dimension: instead, kernel functions compute the inner products between the images of all pairs of data in a feature space. This allows them the very useful attribute of calculating the coordinates of higher dimensions while being computationally cheaper than the explicit calculation of said coordinates. Many algorithms can be expressed in terms of inner products. Using the kernel trick enables us effectively run algorithms in a high-dimensional space with lower-dimensional data.
How do you handle missing or corrupted data in a dataset?	You could find missing/corrupted data in a dataset and either drop those rows or columns, or decide to replace them with another value.In Pandas, there are two very useful methods: isnull() and dropna() that will help you find columns of data with missing or corrupted data and drop those values. If you want to fill the invalid values with a placeholder value (for example, 0), you could use the fillna() method.
What is Artificial Intelligence?	Artificial Intelligence (AI) refers to the field of computer science and engineering that aims to create intelligent machines capable of performing tasks that typically require human intelligence. AI involves the development of algorithms and systems that enable computers to perceive, reason, learn, and make decisions similar to humans.In essence, AI seeks to simulate human cognitive abilities, such as problem-solving, pattern recognition, speech and image recognition, natural language processing, and decision- making, among others. It involves the use of various techniques and approaches, including machine learning, deep learning, natural language processing, computer vision, and robotics.The ultimate goal of AI is to create systems that can perform complex tasks autonomously, adapt to different situations, and continuously improve their performance through learning from data and experience. AI finds applications in various fields, including healthcare, finance, transportation, manufacturing, customer service, and many others, transforming industries and impacting society in significant ways.
 What are the different types of AI?	There are typically four different types or categories of AI, often referred to as AI levels or AI classifications. These types represent different levels of capabilities and functionalities in AI systems:1. Narrow AI (Weak AI): Narrow AI refers to AI systems designed to perform specific tasks or functions within a limited domain. These systems excel at a specific task but lack general intelligence. Examples of narrow AI include voice assistants like Siri or Alexa, recommendation systems, image recognition systems, and chatbots. Narrow AI is the most common form of AI currently in use.2. General AI (Strong AI): General AI refers to AI systems that possess the ability to understand, learn, and apply intelligence across a wide range of tasks and domains. These systems can perform tasks that require human-like intelligence and reasoning. However, achieving true general AI that can match or surpass human intelligence remains a significant challenge, and such systems do not yet exist.3. Artificial Superintelligence: Artificial superintelligence refers to hypothetical AI systems that surpass human intelligence in virtually all aspects. These systems would possess not only superior cognitive abilities but also an ability for self-awareness, creativity, and emotional understanding. Artificial superintelligence is purely speculative at this point and remains a topic of debate and exploration.4. Conscious AI: Conscious AI refers to the concept of AI systems that possess subjective consciousness, self-awareness, and subjective experiences similar to human consciousness. This type of AI would have a sense of self and subjective awareness of its own existence. The development of conscious AI is a highly complex and philosophical topic, and currently, there is no concrete evidence or realization of conscious AI.It's important to note that while narrow AI is currently prevalent and widely used, the development of general AI, artificial superintelligence, and conscious AI are still in the realm of research and speculation, with no widely accepted or realized implementations to date.
